"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321123,1,20th & Bell St,31000,38.8561,-77.0512,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,10,395555.98116137,132033.31449826,
74321124,2,18th & Eads St.,31001,38.85725,-77.05332,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,8,395372.04558977,132161.07808121,
74321125,3,20th & Crystal Dr,31002,38.8564,-77.0492,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,8,395729.59357832,132066.52118651,
74321126,4,15th & Crystal Dr,31003,38.86017,-77.049593,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,1,395695.7097594,132485.03678691,
74321127,5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,6,394836.55986472,132229.78939,
74321128,6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,12,394798.17263784,132722.3537753,
74321129,7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,1,394506.31966949,132877.62800884,
74321130,8,Crystal City Metro / 18th & Bell St,31007,38.8573,-77.0511,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,11,395564.73545012,132166.51823819,
74321131,9,12th & Army Navy Dr,31008,38.8629,-77.0528,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,6,395417.54218218,132788.24270087,
74321132,10,27th & Crystal Dr,31009,38.848441,-77.051516,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,10,395528.07344805,131183.1266423,
74321133,11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,7,395641.95431057,130534.67130912,
74321134,12,23rd & Crystal Dr,31011,38.8533,-77.0498,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,3,395677.32772972,131722.42730273,
74321135,13,26th & S Clark St,31012,38.850688,-77.05152,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,5,395527.86699294,131432.55965392,
74321136,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,1969-12-31T20:00:00.000Z,,NO,8,7,396278.70399052,136939.47827919,
74321137,15,14th & V St NW,31101,38.9176,-77.0321,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,26,397216.20899969,138859.53510936,
